id,full_text
1433826730897252361,interest game alert ks louisiana bayou set seem quite intrigue ttrpg horror louisiana bayou 
1433425809335672839,hey everyone evacuate neworleans close friends mame smokey still new orleans power wks need generator anything spare help greatly appreciate paypal mameangel yahoo com venmo ms mame hurricaneida 
1433367376758771713,nyc flood ida 
1433500585819578371,bad part hurricartion know day take meds ida 
1432867128584060928,excessive rainfall outlook wednesday thursday part ne higher chance experience excessive rainfall due ida 
1432950727773675523,curators kidoryhistorichouse stay hurricaneida protect artifacts preserve history enslave persons amp early jazz house damage amp save artifacts water damage historyeducation job call 
1433084507867987971,post tropical cyclone ida advisory ida extratropical widespread heavy rain areas life threaten flash flood today tonight near track 
1433567454039613444,special thank prop helenamorenola nolaready info get remarkable keep great work us evacuate city nolatwitter nola opennola hurricaneida 
1433080385550815232,hey att epic failure service aftermath hurricaneida give one reason continue give money 
1433934277507354625,hey louisiana get whole yea baby know im talkin bout sho nuff 
1433247907352915969,tennispodcast amphitheater ida usopen 
1433446182190264320,watch knee high flood ida mamaroneck send viewer news wc news hv idaaftermath idaflood flood 
1433551463037353986,result grid failure water amp sewer facilities knock line lead water outages amp boil water advisories school amp universities shutter amp communications service badly interrupt hurricaneida 
1433810520373661700,volunteer work hfusa serve grind louisiana follow devastation cause hurricaneida 
1433597334361935875,know work work really incredible people people check post storm twitter people grateful hurricaneida 
1433287870588981251,newjersey rail service exception atlanticcity line suspend newark airport also saw severe flood usa newyork hurricaneida storm flood 
1433565800972136455,know talk lucky everyone neighborhood hang take care make mistake hurricaneida huge intense terrify build area collapse 
1433480692877438978,nyc district ny last night hit hard hurricaneida tough new yorkers need stick together strong get clean please stay safe 
1433117462560710658,hearts louisiana mississippi affect hurricaneida 
1433161016196673538,apply fema aid call tty may also register nola ida idarelief 
1433861537337417742,hurricaneida would another katrina 
1431993666164432899,noaa day prediction rainfall map show ida track heavy rain ms ne coast lot people theway storm need ready flashflooding kywx tnwx pnwx nywx 
1433248398967197699,abhishekxsingh time invest boat float turnpike lol also need wear life jacket drive turnpike stick since est pack tea pakoras start drive ida njtornado 
1433115814236987394,track ida remnants hurricaneida set bring heavy rain longisland tonight thursday particularly northwest area 
1433694365906522134,heart go face loss ida morning life save tip get submerge vehicle thank matt gutman amp expert tip amp stay safe flood abcwnn abcnewslive americathismorning 
1432883433244614657,wait patiently hours forever batonrouge louisiana waitingpatiently wait waitingforgas 
1433166740964397064,post tropical cyclone ida advisory issue 
1433777086313996290,power nature ida nature photography canonphotography brandywine river 
1433127696939294723,great thing see radar 
1433844731021348864,none trump love jackasses louisiana even crazy usual thank ida try get biden lot us still power amp hot bad mixture bring worst people hurricaneida 
1433134255044009994,livenation status chappelle rogan nola saturday hurricaneida 
1433429465527250946,morning bronxriverparkway ida flood 
1432907570075734018,hurricaneida get word get people 
1433776943711805443,truth core school ida week beautiful sometimes heartbreaking truth core dignity work care creation catholic school none us alone catholic community 
1433099410427322371,damage lousianna hurricaneida political financial uncertainty lebanon residential renewables like solar batteries show resilient grid within reach 
1433723716094005248,catastrophic destruction natural phenomena inflict immense damage even hurricaneida still ravage us consistent monitor climate change minimize risk protect people read satellite imagery accomplish 
1433896444809859073,down power line slump road reserve aftermath hurricane ida 
1433231831424438273,word famous ms constance elephant heavy come back baby hang tight keep work entergy ready come home thank drmnola nola hurricaneida 
1433069027065270276,tire car glad stay austin days hate clothe pack rush none outfit make sense hurricaneida evacuation 
1433501248028741645,pandemonium last night usopen courtesy hurricaneida 
1433069525004701702,charge phone neworleans hurricaneida 
1433103147837399041,lafourche thibodaux parish residents return home noon hurricaneida louisiana brproudnews 
1433278516464951296,watch tornado move hurlock md wednesday multiple confirm tornadoes northeast wednesday remnants ida move crew local national weather service office conduct survey come days mdwx 
1433536210694197249,satellite loop hurricaneida peak wreak havoc northeast video cira csu edit nasdaqwx ida tropics flood usawx 
1433412273482211335,little side side comparison schuylkill river morning compare normal philadelphia idaaftermath 
1433040037164339200,ida move backside storm may still possible today wxspinner breakdown well look big drop temperatures forecast say us may see alwx waff 
1433520105669943296,click information presbyterian disaster assistance respond hurricane ida pcusa atlpcusa hurricaneida 
1433267305828560897,map peak hour rainfall across nyc nysmesonet conedison micronet sit absolutely crazy virtually manhattan queen bronx exceed h rat one site see one hour nywx 
1433240250722181121,remnants ida really unleash across new jersey tonight 
1433400448405344256,spend hours tornado watch fun relieve storm sadden damage flood newjersey hurricaneida 
1433513187459178504,holy fuck flood around county insane ida fuckyouida idaisaslut hours get somewhere say min gps fml 
1433391005718487040,look scene new york new jersey residents share videos show extent flash flood hurricaneida 
1433638725670559746,writers impact hurricaneida may fund authleaguefund cannot confirm may worth check neworleans 
1433280407458484225,flash flood emergency million people insane nywx ida 
1433067857328414726,hurricane ida update flight today louis armstrong international airport cancel hurricaneida flymsy msy 
1433865746061447170,entergy restoration time table louisiana 
1433065043684384771,wrap hurricane ida field mission officially conclude next several weeks data finalize youtube video document ida impact louisiana pray everyone affect storm 
1433837196088279044,help neighbor recover hurricane ida many ways like volunteer donate food supply much visit relief page learn krbe hurricaneida 
1433108654430040065,heavy rain strong wind remnants ida expect region later today may impact flight activity tonight early thursday anyone travel jfk confirm flight status airline arrive airport 
1433481520208125957,destructive tornadoes maryland new jersey yesterday cause significant damage businesses neighborhoods hurricaneida fox austin tornadoes 
1433726747241967622,drone footage show home destroy tornado mullica hill new jersey flood spain newyorkcity newyork newyorkflood flood flashflooding newjersey newjerseyflooding ida hurricanida phillyflooding 
1433942479066255362,brandonlbradfor wednesday blacksburg contend tornados ida next go rona 
1433095083075805186,houstonfire firefighters new orleans area assist fire protection rescue efforts amp join firefighters texas staff station st charles parish also help clear roads power company firechiefofhfd 
1433522666342952967,news story us cooperative chsinc expect take weeks power restore myrtlegrove louisiana grain export terminal hurricaneida knock power region argusag article 
1433100096820948992,hurricaneida day 
1433462812110725126,head houma haul fuel burgers amp grill ice water gatorade second third vehicles follow carry baby items shelf stable food pet food water hurricanida ida relief 
