id,full_text
1434894136134356993,members hssonline sochisttech plan meet new orleans time support local communities louisiana wake ida donate orgs group include native nations hardest hit hurricane histsci histstm 
1434686834412597250,help would greatly appreciate louisianastrong hurricaneida 
1434926613809049602,green rta bus rout modify schedule begin today saturday schedule fare waive hurricaneida 
1434653822152970240,several airlines continue offer limit flight service louis armstrong new orleans international airport hurricane ida 
1435670996422438916,heart go everyone affect hurricane ida learn statefarm help customers recover impact need goodneighbor 
1434861175511166979,post hurricaneida life makesmecomfortablynumb 
1436419207168675843,disaster strike hard know turn move forward safe tip use recover financially hurricaneida 
1436398836302352413,anyone know soon hear back fema apply fema hurricaneida hurricaneidarecovery 
1437084043909156877,stop courtyardbrew morning relief operation phenomenal hurricaneida 
1434557309137604615,follow hurricane ida usace part power restoration task force along partner state louisiana fema energy private sector plan prioritize assessments 
1434916685602033673,upfirst every time mention afghanistan want story neworleans idahurricane devastation do black americans via systemic federal abandonment katrina echo show today ida deserve minimum equal coverage 
1436127894695133190,utah task force back utah help massive search rescue efforts louisiana wake hurricaneida speak operations chief trip one many participate last years ksl tv mike ulibarri 
1437199521914687494,two weeks later cow still walk across power line entergy hurricaneida entergy entergyla entergynola 
1436834025524563972,give away gallons distribution line today put overall total gallons public far fuelsaveslives hurricaneida hurricaneida louisiana disasterrelief humanitarianaid 
1436434301810319360,many opportunities week donate blood thebloodcenter 
1434601941535965187,ida nola hurricaneida neworleans power definitely follow davidhammerwwl best report see yet entergy shift explanation new plant generate power 
1435267445132955650,line cars wait supply terrebonne 
1436058949661384704,mold quickly grow damage home follow weather events like hurricaneida thread need know 
1434918681948078091,interest stat hurricaneida 
1434633377425104902,photos davidgrunfeld hit pretty hard hope contribute way get people help need 
1434835036503691268,alone keep grind recover hurricaneida 
1435303787573518340,louisiana death toll ida stand two additional storm relate deaths report tuesday 
1434924274104606728,green stop sign replace down traffic light drive slowly stop see down traffic light treat four way stop sign hurricaneida 
1436849539667857412,two weeks ago category hurricane ida slam southern louisiana watch roof fly air wave crash levees full documentary intercept ida lawx louisiana hurricaneida documentary link 
1436305310361309186,spend time georgiapower storm team continue replace pole pick span wire hurricane ida hard difficult work proud crew mutual assistance network effect help restore power louisiana 
1435216290457788417,find helpful resources go get thru together stay safe nola amp family wakinbakin wakinbakinmidcity wakinbakinuptown nolaready ida 
1437111897581629455,welcome league elimitch sfvsdet fox 
1434307795252297730,power due back almost neworleans next week mayorcantrell strongly encourage residents evacuate hurricaneida begin return home outside city prospect recovery appear bleaker 
1436073440163909647,biden code red climatechange environment hurricaneida infrastructure 
1436020663123423233,meet lot amaze people live lafitte work home health meet lot amaze folks westbank well deserve better hurricaneida 
1434932155512147972,tree branch storm debris yard need help damage inside home crisis cleanup connect residents volunteer will assist clean storm debris hurricaneida call 
1435761954702954500,thepeople louisiana ny ca struggle aftermath hurricaneida flood wildfires screw upthinking charliekirk trump deny duty care protect fema electrical workers ems national guard tpusa say biggovsuck uspolitics 
1435218836563841024,landlords allow evict without go court even hurricane 
1436463421390823437,ida relay info purpose 
1435803514815528963,fortunate safe healthy somehow manage lose anything ida blow roof apartment half camelback entire downstairs gutted still ready help friends amp neighbor get back fix 
1436389036910841865,heavy rain flash flood cause hurricaneida inflict estimate million damage bus percent bus house staten island castleton bus depot 
1434369321384488962,make whooooole night hurricaneida biden 
1435650859694796807,hobnola september st stevehofstetter show still wake hurricaneida plan come town evacuate hours away want make sure plan hotel everything 
